,part_id,cont_id,cnt_age_exact,hh_id,part_age,part_gender
0,H002/S01,H002/S01_2,20.0,H002,44,M
1,H002/S01,H002/S01_3,21.0,H002,44,M
2,H002/S01,H002/S01_4,24.0,H002,44,M
3,H002/S01,H002/S01_1,38.0,H002,44,M
4,H002/S01,H002/S01_6,43.0,H002,44,M
5,H002/S01,H002/S01_8,38.0,H002,44,M
6,H002/S01,H002/S01_9,44.0,H002,44,M
7,H002/S01,H002/S01_10,42.0,H002,44,M
8,H002/S01,H002/S01_11,45.0,H002,44,M
9,H002/S01,H002/S01_12,48.0,H002,44,M
10,H002/S01,H002/S01_5,57.0,H002,44,M
11,H002/S01,H002/S01_7,52.0,H002,44,M
12,H002/S01,H002/S01_13,86.0,H002,44,M
13,H002/S01,H002/S01_14,65.0,H002,44,M
14,H002/S02,H002/S02_2,21.0,H002,41,F
15,H002/S02,H002/S02_3,21.0,H002,41,F
16,H002/S02,H002/S02_4,18.0,H002,41,F
17,H002/S02,H002/S02_13,26.0,H002,41,F
18,H002/S02,H002/S02_14,31.0,H002,41,F
19,H002/S02,H002/S02_1,46.0,H002,41,F
20,H002/S02,H002/S02_5,49.0,H002,41,F
21,H002/S02,H002/S02_6,49.0,H002,41,F
22,H002/S02,H002/S02_7,61.0,H002,41,F
23,H002/S02,H002/S02_8,51.0,H002,41,F
24,H002/S02,H002/S02_9,58.0,H002,41,F
25,H002/S02,H002/S02_10,54.0,H002,41,F
26,H002/S02,H002/S02_11,52.0,H002,41,F
27,H002/S02,H002/S02_12,52.0,H002,41,F
28,H002/S03,H002/S03_3,18.0,H002,21,M
29,H002/S03,H002/S03_4,21.0,H002,21,M
30,H002/S03,H002/S03_5,21.0,H002,21,M
31,H002/S03,H002/S03_7,17.0,H002,21,M
32,H002/S03,H002/S03_6,27.0,H002,21,M
33,H002/S03,H002/S03_8,26.0,H002,21,M
34,H002/S03,H002/S03_9,26.0,H002,21,M
35,H002/S03,H002/S03_1,42.0,H002,21,M
36,H002/S03,H002/S03_2,40.0,H002,21,M
37,H002/S04,H002/S04_3,21.0,H002,17,F
38,H002/S04,H002/S04_4,19.0,H002,17,F
39,H002/S04,H002/S04_5,17.0,H002,17,F
40,H002/S04,H002/S04_7,17.0,H002,17,F
41,H002/S04,H002/S04_8,20.0,H002,17,F
42,H002/S04,H002/S04_9,18.0,H002,17,F
43,H002/S04,H002/S04_10,25.0,H002,17,F
44,H002/S04,H002/S04_11,17.0,H002,17,F
45,H002/S04,H002/S04_12,21.0,H002,17,F
46,H002/S04,H002/S04_6,29.0,H002,17,F
47,H002/S04,H002/S04_1,42.0,H002,17,F
48,H002/S04,H002/S04_2,43.0,H002,17,F
49,H002/S05,H002/S05_2,20.0,H002,16,F
50,H002/S05,H002/S05_3,24.0,H002,16,F
51,H002/S05,H002/S05_5,23.0,H002,16,F
52,H002/S05,H002/S05_6,21.0,H002,16,F
53,H002/S05,H002/S05_7,20.0,H002,16,F
54,H002/S05,H002/S05_8,18.0,H002,16,F
55,H002/S05,H002/S05_9,21.0,H002,16,F
56,H002/S05,H002/S05_10,20.0,H002,16,F
57,H002/S05,H002/S05_11,18.0,H002,16,F
58,H002/S05,H002/S05_12,16.0,H002,16,F
59,H002/S05,H002/S05_1,43.0,H002,16,F
60,H002/S05,H002/S05_4,47.0,H002,16,F
61,H003/S01,H003/S01_2,20.0,H003,49,M
62,H003/S01,H003/S01_3,25.0,H003,49,M
63,H003/S01,H003/S01_4,27.0,H003,49,M
64,H003/S01,H003/S01_5,32.0,H003,49,M
65,H003/S01,H003/S01_1,46.0,H003,49,M
66,H003/S02,H003/S02_7,1.0,H003,44,F
67,H003/S02,H003/S02_2,19.0,H003,44,F
68,H003/S02,H003/S02_3,21.0,H003,44,F
69,H003/S02,H003/S02_4,27.0,H003,44,F
70,H003/S02,H003/S02_5,33.0,H003,44,F
71,H003/S02,H003/S02_1,43.0,H003,44,F
72,H003/S02,H003/S02_6,12.0,H003,44,F
73,H003/S03,H003/S03_3,21.0,H003,23,M
74,H003/S03,H003/S03_6,24.0,H003,23,M
75,H003/S03,H003/S03_1,37.0,H003,23,M
76,H003/S03,H003/S03_2,35.0,H003,23,M
77,H003/S03,H003/S03_4,38.0,H003,23,M
78,H003/S03,H003/S03_5,48.0,H003,23,M
79,H003/S04,H003/S04_3,16.0,H003,17,M
80,H003/S04,H003/S04_1,38.0,H003,17,M
81,H003/S04,H003/S04_2,46.0,H003,17,M
82,H003/S04,H003/S04_4,35.0,H003,17,M
83,H003/S04,H003/S04_5,13.0,H003,17,M
84,H004/S01,H004/S01_3,17.0,H004,50,M
85,H004/S01,H004/S01_4,24.0,H004,50,M
86,H004/S01,H004/S01_11,32.0,H004,50,M
87,H004/S01,H004/S01_1,44.0,H004,50,M
88,H004/S01,H004/S01_5,47.0,H004,50,M
89,H004/S01,H004/S01_6,46.0,H004,50,M
90,H004/S01,H004/S01_7,41.0,H004,50,M
91,H004/S01,H004/S01_8,49.0,H004,50,M
92,H004/S01,H004/S01_16,35.0,H004,50,M
93,H004/S01,H004/S01_9,58.0,H004,50,M
94,H004/S01,H004/S01_10,55.0,H004,50,M
95,H004/S01,H004/S01_12,64.0,H004,50,M
96,H004/S01,H004/S01_13,50.0,H004,50,M
97,H004/S01,H004/S01_14,55.0,H004,50,M
98,H004/S01,H004/S01_15,64.0,H004,50,M
99,H004/S01,H004/S01_2,14.0,H004,50,M
100,H004/S02,H004/S02_3,21.0,H004,45,F
101,H004/S02,H004/S02_4,16.0,H004,45,F
102,H004/S02,H004/S02_6,28.0,H004,45,F
103,H004/S02,H004/S02_5,39.0,H004,45,F
104,H004/S02,H004/S02_9,36.0,H004,45,F
105,H004/S02,H004/S02_10,48.0,H004,45,F
106,H004/S02,H004/S02_1,52.0,H004,45,F
107,H004/S02,H004/S02_11,53.0,H004,45,F
108,H004/S02,H004/S02_12,62.0,H004,45,F
109,H004/S02,H004/S02_2,8.0,H004,45,F
110,H004/S02,H004/S02_7,15.0,H004,45,F
111,H004/S02,H004/S02_8,14.0,H004,45,F
112,H004/S03,H004/S03_3,21.0,H004,22,F
113,H004/S03,H004/S03_4,21.0,H004,22,F
114,H004/S03,H004/S03_2,40.0,H004,22,F
115,H004/S03,H004/S03_1,54.0,H004,22,F
116,H004/S03,H004/S03_5,12.0,H004,22,F
117,H004/S03,H004/S03_6,8.0,H004,22,F
118,H004/S03,H004/S03_7,11.0,H004,22,F
119,H004/S03,H004/S03_8,13.0,H004,22,F
120,H004/S03,H004/S03_9,13.0,H004,22,F
121,H004/S03,H004/S03_10,14.0,H004,22,F
122,H004/S03,H004/S03_11,10.0,H004,22,F
123,H004/S03,H004/S03_12,10.0,H004,22,F
124,H004/S04,H004/S04_3,20.0,H004,20,F
125,H004/S04,H004/S04_4,22.0,H004,20,F
126,H004/S04,H004/S04_6,23.0,H004,20,F
127,H004/S04,H004/S04_7,18.0,H004,20,F
128,H004/S04,H004/S04_10,24.0,H004,20,F
129,H004/S04,H004/S04_11,25.0,H004,20,F
130,H004/S04,H004/S04_12,24.0,H004,20,F
131,H004/S04,H004/S04_13,19.0,H004,20,F
132,H004/S04,H004/S04_14,23.0,H004,20,F
133,H004/S04,H004/S04_2,49.0,H004,20,F
134,H004/S04,H004/S04_8,39.0,H004,20,F
135,H004/S04,H004/S04_9,45.0,H004,20,F
136,H004/S04,H004/S04_1,50.0,H004,20,F
137,H004/S04,H004/S04_5,8.0,H004,20,F
138,H004/S05,H004/S05_4,16.0,H004,7,F
139,H004/S05,H004/S05_5,23.0,H004,7,F
140,H004/S05,H004/S05_6,25.0,H004,7,F
141,H004/S05,H004/S05_7,19.0,H004,7,F
142,H004/S05,H004/S05_8,22.0,H004,7,F
143,H004/S05,H004/S05_9,16.0,H004,7,F
144,H004/S05,H004/S05_10,25.0,H004,7,F
145,H004/S05,H004/S05_2,37.0,H004,7,F
146,H004/S05,H004/S05_1,57.0,H004,7,F
147,H004/S05,H004/S05_3,7.0,H004,7,F
148,H005/S01,H005/S01_7,4.0,H005,42,F
149,H005/S01,H005/S01_1,25.0,H005,42,F
150,H005/S01,H005/S01_2,21.0,H005,42,F
151,H005/S01,H005/S01_5,39.0,H005,42,F
152,H005/S01,H005/S01_6,44.0,H005,42,F
153,H005/S01,H005/S01_3,13.0,H005,42,F
154,H005/S01,H005/S01_4,76.0,H005,42,F
155,H005/S02,H005/S02_2,17.0,H005,19,F
156,H005/S02,H005/S02_5,20.0,H005,19,F
157,H005/S02,H005/S02_6,19.0,H005,19,F
158,H005/S02,H005/S02_7,17.0,H005,19,F
159,H005/S02,H005/S02_1,37.0,H005,19,F
160,H005/S02,H005/S02_4,62.0,H005,19,F
161,H005/S02,H005/S02_3,7.0,H005,19,F
162,H005/S03,H005/S03_2,25.0,H005,16,F
163,H005/S03,H005/S03_1,44.0,H005,16,F
164,H005/S03,H005/S03_4,39.0,H005,16,F
165,H005/S03,H005/S03_5,42.0,H005,16,F
166,H005/S03,H005/S03_3,7.0,H005,16,F
167,H005/S04,H005/S04_2,18.0,H005,14,M
168,H005/S04,H005/S04_3,24.0,H005,14,M
169,H005/S04,H005/S04_1,41.0,H005,14,M
170,H005/S04,H005/S04_4,49.0,H005,14,M
171,H005/S04,H005/S04_5,6.0,H005,14,M
172,H006/S01,H006/S01_3,0.0,H006,28,M
173,H006/S01,H006/S01_4,3.0,H006,28,M
174,H006/S01,H006/S01_5,25.0,H006,28,M
175,H006/S01,H006/S01_1,28.0,H006,28,M
176,H006/S01,H006/S01_6,32.0,H006,28,M
177,H006/S01,H006/S01_7,43.0,H006,28,M
178,H006/S01,H006/S01_8,43.0,H006,28,M
179,H006/S01,H006/S01_2,6.0,H006,28,M
180,H006/S02,H006/S02_3,1.0,H006,27,F
181,H006/S02,H006/S02_4,4.0,H006,27,F
182,H006/S02,H006/S02_1,27.0,H006,27,F
183,H006/S02,H006/S02_6,32.0,H006,27,F
184,H006/S02,H006/S02_7,33.0,H006,27,F
185,H006/S02,H006/S02_8,34.0,H006,27,F
186,H006/S02,H006/S02_2,14.0,H006,27,F
187,H006/S02,H006/S02_5,8.0,H006,27,F
188,H006/S03,H006/S03_3,2.0,H006,7,F
189,H006/S03,H006/S03_4,0.0,H006,7,F
190,H006/S03,H006/S03_5,2.0,H006,7,F
191,H006/S03,H006/S03_1,33.0,H006,7,F
192,H006/S03,H006/S03_2,33.0,H006,7,F
193,H006/S04,H006/S04_4,2.0,H006,4,M
