,index,part_id,cont_id,cnt_age_exact,hh_id,part_age,part_gender
0,0,15218,15218_2_1_1,68.0,FR15,38,M
2,2,15218,15218_2_2_1,68.0,FR15,38,M
3,3,3996,3996_2_1_1,29.0,FR15,0,M
4,4,3996,3996_2_1_2,33.0,FR15,0,M
5,5,3996,3996_2_1_3,3.0,FR15,0,M
8,8,3996,3996_2_1_6,18.0,FR15,0,M
9,9,3996,3996_2_2_1,29.0,FR15,0,M
10,10,3996,3996_2_2_2,33.0,FR15,0,M
11,11,3996,3996_2_2_3,3.0,FR15,0,M
13,13,3996,3996_1_1_1,29.0,FR15,0,M
14,14,3996,3996_1_1_2,3.0,FR15,0,M
15,15,3996,3996_1_1_3,33.0,FR15,0,M
17,17,3996,3996_1_2_1,29.0,FR15,0,M
18,18,3996,3996_1_2_2,3.0,FR15,0,M
19,19,3996,3996_1_2_3,33.0,FR15,0,M
20,20,3996,3996_1_2_4,29.0,FR15,0,M
21,21,3996,3996_1_2_5,33.0,FR15,0,M
22,22,14409,14409_2_1_1,49.0,FR15,18,M
23,23,14409,14409_2_1_2,48.0,FR15,18,M
24,24,14409,14409_2_1_3,16.0,FR15,18,M
28,28,14409,14409_2_1_7,28.0,FR15,18,M
29,29,14409,14409_2_1_8,29.0,FR15,18,M
30,30,14409,14409_2_1_9,6.0,FR15,18,M
32,32,14409,14409_2_1_11,50.0,FR15,18,M
33,33,14409,14409_2_2_1,49.0,FR15,18,M
34,34,14409,14409_2_2_2,48.0,FR15,18,M
35,35,14409,14409_2_2_3,16.0,FR15,18,M
36,36,14409,14409_2_2_4,6.0,FR15,18,M
42,42,14409,14409_2_2_10,28.0,FR15,18,M
43,43,952,952_2_1_1,81.0,FR15,74,F
44,44,952,952_2_1_2,75.0,FR15,74,F
47,47,952,952_2_1_5,74.0,FR15,74,F
49,49,952,952_2_2_1,81.0,FR15,74,F
50,50,952,952_1_1_1,81.0,FR15,74,F
56,56,952,952_1_2_1,81.0,FR15,74,F
57,57,952,952_1_2_2,63.0,FR15,74,F
60,60,952,952_1_2_5,29.0,FR15,74,F
61,61,12382,12382_2_1_1,73.0,FR15,71,F
64,64,12382,12382_2_2_1,73.0,FR15,71,F
66,66,9631,9631_2_1_1,65.0,FR15,67,M
67,67,9631,9631_2_1_2,12.0,FR15,67,M
68,68,9631,9631_2_1_3,10.0,FR15,67,M
69,69,9631,9631_2_1_4,8.0,FR15,67,M
70,70,9631,9631_2_1_5,44.0,FR15,67,M
73,73,9631,9631_2_2_1,65.0,FR15,67,M
74,74,9631,9631_2_2_2,12.0,FR15,67,M
75,75,9631,9631_2_2_3,10.0,FR15,67,M
76,76,9631,9631_2_2_4,8.0,FR15,67,M
77,77,17843,17843_2_1_1,76.0,FR15,4,M
78,78,17843,17843_2_1_2,74.0,FR15,4,M
79,79,17843,17843_2_1_3,48.0,FR15,4,M
80,80,17843,17843_2_1_4,50.0,FR15,4,M
81,81,17843,17843_2_1_5,36.0,FR15,4,M
82,82,17843,17843_2_1_6,34.0,FR15,4,M
83,83,17843,17843_2_1_7,10.0,FR15,4,M
84,84,17843,17843_2_1_8,8.0,FR15,4,M
85,85,17843,17843_2_1_9,0.0,FR15,4,M
86,86,17843,17843_2_2_1,56.0,FR15,4,M
87,87,17843,17843_2_2_2,35.0,FR15,4,M
88,88,17843,17843_2_2_3,4.0,FR15,4,M
89,89,17843,17843_2_2_4,77.0,FR15,4,M
90,90,17843,17843_2_2_5,36.0,FR15,4,M
91,91,17843,17843_2_2_6,34.0,FR15,4,M
92,92,17843,17843_2_2_7,10.0,FR15,4,M
93,93,17843,17843_2_2_8,8.0,FR15,4,M
94,94,17843,17843_2_2_9,0.0,FR15,4,M
95,95,17702,17702_2_1_1,48.0,FR15,18,M
96,96,17702,17702_2_1_2,16.0,FR15,18,M
98,98,17702,17702_2_1_4,18.0,FR15,18,M
99,99,17702,17702_2_1_5,25.0,FR15,18,M
102,102,17702,17702_2_1_8,21.0,FR15,18,M
103,103,17702,17702_2_2_1,48.0,FR15,18,M
104,104,17702,17702_2_2_2,50.0,FR15,18,M
105,105,17702,17702_2_2_3,16.0,FR15,18,M
106,106,17702,17702_2_2_4,18.0,FR15,18,M
107,107,17702,17702_2_2_5,18.0,FR15,18,M
108,108,17702,17702_2_2_6,18.0,FR15,18,M
109,109,17702,17702_2_2_7,19.0,FR15,18,M
110,110,17702,17702_2_2_8,18.0,FR15,18,M
111,111,17702,17702_2_2_9,18.0,FR15,18,M
112,112,17702,17702_2_2_10,18.0,FR15,18,M
113,113,17702,17702_2_2_11,18.0,FR15,18,M
114,114,9830,9830_2_1_1,43.0,FR15,9,F
115,115,9830,9830_2_1_2,15.0,FR15,9,F
116,116,9830,9830_2_1_3,13.0,FR15,9,F
117,117,9830,9830_2_1_4,64.0,FR15,9,F
118,118,9830,9830_2_2_1,64.0,FR15,9,F
119,119,9830,9830_2_2_2,10.0,FR15,9,F
120,120,9830,9830_2_2_3,6.0,FR15,9,F
121,121,9830,9830_2_2_4,41.0,FR15,9,F
122,122,9830,9830_2_2_5,55.0,FR15,9,F
123,123,1388,1388_2_1_1,65.0,FR15,78,F
124,124,1388,1388_2_1_2,67.0,FR15,78,F
125,125,1388,1388_2_1_3,54.0,FR15,78,F
126,126,1388,1388_2_1_4,41.0,FR15,78,F
127,127,1388,1388_2_1_5,15.0,FR15,78,F
128,128,1388,1388_2_1_6,11.0,FR15,78,F
129,129,1388,1388_2_1_7,43.0,FR15,78,F
130,130,1388,1388_2_2_1,72.0,FR15,78,F
131,131,1388,1388_2_2_2,45.0,FR15,78,F
132,132,1388,1388_2_2_3,19.0,FR15,78,F
133,133,1388,1388_2_2_4,14.0,FR15,78,F
134,134,1388,1388_2_2_5,38.0,FR15,78,F
135,135,1388,1388_2_2_6,43.0,FR15,78,F
136,136,1388,1388_2_2_7,71.0,FR15,78,F
137,137,1388,1388_1_1_1,29.0,FR15,78,F
138,138,1388,1388_1_1_2,53.0,FR15,78,F
139,139,1388,1388_1_1_3,21.0,FR15,78,F
141,141,1388,1388_1_1_5,7.0,FR15,78,F
142,142,1388,1388_1_1_6,5.0,FR15,78,F
143,143,1388,1388_1_2_1,22.0,FR15,78,F
145,145,1388,1388_1_2_3,86.0,FR15,78,F
146,146,1388,1388_1_2_4,62.0,FR15,78,F
148,148,1388,1388_1_2_6,65.0,FR15,78,F
149,149,8960,8960_2_1_1,35.0,FR15,54,F
150,150,8960,8960_2_1_2,55.0,FR15,54,F
151,151,8960,8960_2_1_3,62.0,FR15,54,F
152,152,8960,8960_2_1_4,71.0,FR15,54,F
153,153,8960,8960_2_1_5,40.0,FR15,54,F
154,154,8960,8960_2_1_6,45.0,FR15,54,F
155,155,8960,8960_2_1_7,52.0,FR15,54,F
156,156,8960,8960_2_1_8,62.0,FR15,54,F
157,157,8960,8960_2_1_9,62.0,FR15,54,F
158,158,8960,8960_2_1_10,55.0,FR15,54,F
159,159,8960,8960_2_1_11,53.0,FR15,54,F
160,160,8960,8960_2_2_1,48.0,FR15,54,F
162,162,8960,8960_2_2_3,50.0,FR15,54,F
164,164,8960,8960_2_2_5,50.0,FR15,54,F
165,165,8960,8960_2_2_6,44.0,FR15,54,F
166,166,8960,8960_2_2_7,56.0,FR15,54,F
167,167,8960,8960_2_2_8,50.0,FR15,54,F
172,172,10166,10166_2_1_3,73.0,FR15,67,F
173,173,10166,10166_2_2_1,30.0,FR15,67,F
174,174,10166,10166_2_2_2,30.0,FR15,67,F
175,175,10166,10166_2_2_3,3.0,FR15,67,F
176,176,10166,10166_2_2_4,30.0,FR15,67,F
177,177,10166,10166_2_2_5,73.0,FR15,67,F
178,178,10166,10166_2_2_6,50.0,FR15,67,F
179,179,10166,10166_2_2_7,40.0,FR15,67,F
180,180,10166,10166_2_2_8,30.0,FR15,67,F
182,182,8840,8840_2_1_2,30.0,FR15,77,F
183,183,8840,8840_2_1_3,70.0,FR15,77,F
184,184,8840,8840_2_1_4,60.0,FR15,77,F
185,185,8840,8840_2_1_5,65.0,FR15,77,F
188,188,8840,8840_2_1_8,58.0,FR15,77,F
189,189,8840,8840_2_1_9,42.0,FR15,77,F
193,193,8840,8840_2_1_13,30.0,FR15,77,F
195,195,8840,8840_2_2_1,24.0,FR15,77,F
196,196,8840,8840_2_2_2,70.0,FR15,77,F
197,197,8840,8840_2_2_3,52.0,FR15,77,F
198,198,4550,4550_2_1_1,24.0,FR15,24,M
203,203,9475,9475_2_1_1,50.0,FR15,69,F
204,204,9475,9475_2_1_2,55.0,FR15,69,F
210,210,9475,9475_2_1_8,64.0,FR15,69,F
211,211,9475,9475_2_1_9,69.0,FR15,69,F
212,212,9475,9475_2_1_10,80.0,FR15,69,F
213,213,9475,9475_2_1_11,38.0,FR15,69,F
215,215,9475,9475_2_2_2,43.0,FR15,69,F
216,216,9475,9475_2_2_3,51.0,FR15,69,F
217,217,9475,9475_2_2_4,63.0,FR15,69,F
218,218,1319,1319_2_1_1,68.0,FR15,64,F
219,219,1319,1319_2_1_2,41.0,FR15,64,F
221,221,1319,1319_2_2_1,68.0,FR15,64,F
222,222,1319,1319_2_2_2,78.0,FR15,64,F
223,223,1319,1319_2_2_3,82.0,FR15,64,F
224,224,1319,1319_1_1_1,68.0,FR15,64,F
225,225,1319,1319_1_1_2,10.0,FR15,64,F
226,226,1319,1319_1_1_3,40.0,FR15,64,F
227,227,1319,1319_1_2_1,68.0,FR15,64,F
228,228,6235,6235_2_1_1,66.0,FR15,52,M
229,229,6235,6235_2_1_2,59.0,FR15,52,M
230,230,6235,6235_2_2_1,66.0,FR15,52,M
233,233,4006,4006_2_1_1,31.0,FR15,2,M
234,234,4006,4006_2_1_2,34.0,FR15,2,M
235,235,4006,4006_2_1_3,48.0,FR15,2,M
236,236,4006,4006_2_1_4,5.0,FR15,2,M
237,237,4006,4006_2_1_5,4.0,FR15,2,M
238,238,4006,4006_2_1_6,17.0,FR15,2,M
239,239,4006,4006_2_1_7,14.0,FR15,2,M
240,240,4006,4006_2_1_8,80.0,FR15,2,M
241,241,4006,4006_2_1_9,68.0,FR15,2,M
242,242,4006,4006_2_1_10,46.0,FR15,2,M
243,243,4006,4006_2_1_11,27.0,FR15,2,M
244,244,4006,4006_2_1_12,20.0,FR15,2,M
245,245,4006,4006_2_1_13,25.0,FR15,2,M
246,246,4006,4006_2_1_14,40.0,FR15,2,M
247,247,4006,4006_2_1_15,33.0,FR15,2,M
250,250,4006,4006_2_2_1,31.0,FR15,2,M
251,251,4006,4006_2_2_2,34.0,FR15,2,M
252,252,4006,4006_2_2_3,26.0,FR15,2,M
253,253,4006,4006_2_2_4,34.0,FR15,2,M
254,254,4006,4006_1_1_1,31.0,FR15,2,M
255,255,4006,4006_1_1_2,33.0,FR15,2,M
256,256,4006,4006_1_1_3,48.0,FR15,2,M
257,257,4006,4006_1_1_4,27.0,FR15,2,M
258,258,4006,4006_1_1_5,16.0,FR15,2,M
259,259,4006,4006_1_1_6,5.0,FR15,2,M
260,260,4006,4006_1_1_7,4.0,FR15,2,M
261,261,4006,4006_1_1_8,3.0,FR15,2,M
262,262,4006,4006_1_1_9,21.0,FR15,2,M
263,263,4006,4006_1_1_10,35.0,FR15,2,M
264,264,4006,4006_1_1_11,40.0,FR15,2,M
265,265,4006,4006_1_1_12,30.0,FR15,2,M
266,266,4006,4006_1_1_13,67.0,FR15,2,M
267,267,4006,4006_1_1_14,52.0,FR15,2,M
268,268,4006,4006_1_1_15,29.0,FR15,2,M
269,269,4006,4006_1_1_16,30.0,FR15,2,M
270,270,4006,4006_1_1_17,41.0,FR15,2,M
271,271,4006,4006_1_1_18,35.0,FR15,2,M
272,272,4006,4006_1_1_19,16.0,FR15,2,M
273,273,4006,4006_1_2_1,31.0,FR15,2,M
274,274,4006,4006_1_2_2,33.0,FR15,2,M
275,275,4006,4006_1_2_3,48.0,FR15,2,M
276,276,4006,4006_1_2_4,67.0,FR15,2,M
277,277,4006,4006_1_2_5,5.0,FR15,2,M
278,278,4006,4006_1_2_6,4.0,FR15,2,M
279,279,4006,4006_1_2_7,3.0,FR15,2,M
280,280,4006,4006_1_2_8,16.0,FR15,2,M
281,281,4006,4006_1_2_9,40.0,FR15,2,M
282,282,4006,4006_1_2_10,39.0,FR15,2,M
283,283,4006,4006_1_2_11,8.0,FR15,2,M
284,284,4006,4006_1_2_12,8.0,FR15,2,M
285,285,4006,4006_1_2_13,55.0,FR15,2,M
286,286,4006,4006_1_2_14,27.0,FR15,2,M
287,287,4006,4006_1_2_15,42.0,FR15,2,M
288,288,4006,4006_1_2_16,14.0,FR15,2,M
291,291,11515,11515_2_1_1,13.0,FR15,12,F
292,292,11515,11515_2_1_2,16.0,FR15,12,F
293,293,11515,11515_2_1_3,40.0,FR15,12,F
294,294,11515,11515_2_1_4,47.0,FR15,12,F
295,295,11515,11515_2_1_5,45.0,FR15,12,F
296,296,11515,11515_2_1_6,46.0,FR15,12,F
297,297,11515,11515_2_1_7,15.0,FR15,12,F
298,298,11515,11515_2_2_1,13.0,FR15,12,F
305,305,11515,11515_2_2_8,13.0,FR15,12,F
310,310,11515,11515_2_2_13,13.0,FR15,12,F
311,311,11515,11515_2_2_14,45.0,FR15,12,F
312,312,11515,11515_2_2_15,45.0,FR15,12,F
314,314,10428,10428_2_1_1,45.0,FR15,4,F
315,315,10428,10428_2_1_2,34.0,FR15,4,F
317,317,10428,10428_2_1_4,4.0,FR15,4,F
318,318,10428,10428_2_1_5,2.0,FR15,4,F
320,320,10428,10428_2_2_1,45.0,FR15,4,F
321,321,10428,10428_2_2_2,34.0,FR15,4,F
328,328,8409,8409_2_1_1,60.0,FR15,48,M
329,329,8409,8409_2_1_2,42.0,FR15,48,M
330,330,8409,8409_2_1_3,40.0,FR15,48,M
334,334,8409,8409_2_1_7,69.0,FR15,48,M
338,338,8409,8409_2_1_11,17.0,FR15,48,M
339,339,8409,8409_2_1_12,10.0,FR15,48,M
353,353,12136,12136_2_1_9,63.0,FR15,66,M
356,356,12136,12136_2_1_12,53.0,FR15,66,M
363,363,12136,12136_2_2_5,63.0,FR15,66,M
364,364,6063,6063_2_1_1,61.0,FR15,64,M
365,365,6063,6063_2_1_2,62.0,FR15,64,M
366,366,6063,6063_2_1_3,25.0,FR15,64,M
367,367,6063,6063_2_2_1,82.0,FR15,64,M
368,368,6063,6063_2_2_2,80.0,FR15,64,M
369,369,2047,2047_2_1_1,65.0,FR15,62,F
370,370,2047,2047_2_1_2,8.0,FR15,62,F
371,371,2047,2047_2_1_3,8.0,FR15,62,F
372,372,2047,2047_2_1_4,70.0,FR15,62,F
373,373,2047,2047_2_1_5,76.0,FR15,62,F
374,374,2047,2047_2_1_6,80.0,FR15,62,F
375,375,2047,2047_2_1_7,57.0,FR15,62,F
376,376,2047,2047_2_1_8,10.0,FR15,62,F
377,377,2047,2047_2_1_9,83.0,FR15,62,F
378,378,2047,2047_2_2_1,65.0,FR15,62,F
379,379,2047,2047_2_2_2,8.0,FR15,62,F
380,380,2047,2047_2_2_3,8.0,FR15,62,F
381,381,2047,2047_2_2_4,83.0,FR15,62,F
382,382,2047,2047_2_2_5,79.0,FR15,62,F
384,384,2047,2047_2_2_7,40.0,FR15,62,F
385,385,2047,2047_2_2_8,38.0,FR15,62,F
386,386,2047,2047_1_1_1,65.0,FR15,62,F
389,389,2047,2047_1_1_4,62.0,FR15,62,F
390,390,2047,2047_1_1_5,40.0,FR15,62,F
394,394,2047,2047_1_1_9,15.0,FR15,62,F
395,395,2047,2047_1_2_1,65.0,FR15,62,F
398,398,2047,2047_1_2_4,15.0,FR15,62,F
404,404,2047,2047_1_2_10,60.0,FR15,62,F
406,406,2047,2047_1_2_12,52.0,FR15,62,F
407,407,2047,2047_1_2_13,55.0,FR15,62,F
408,408,2047,2047_1_2_14,82.0,FR15,62,F
409,409,2047,2047_1_2_15,40.0,FR15,62,F
410,410,2047,2047_1_2_16,39.0,FR15,62,F
411,411,2047,2047_1_2_17,38.0,FR15,62,F
412,412,2047,2047_1_2_18,8.0,FR15,62,F
413,413,2047,2047_1_2_19,8.0,FR15,62,F
414,414,2047,2047_1_2_20,62.0,FR15,62,F
415,415,2047,2047_1_2_21,65.0,FR15,62,F
416,416,2047,2047_1_2_22,1.0,FR15,62,F
418,418,7360,7360_2_1_2,10.0,FR15,11,M
419,419,7360,7360_2_1_3,10.0,FR15,11,M
420,420,7360,7360_2_1_4,6.0,FR15,11,M
421,421,7360,7360_2_1_5,11.0,FR15,11,M
422,422,7360,7360_2_1_6,10.0,FR15,11,M
423,423,7360,7360_2_1_7,54.0,FR15,11,M
424,424,7360,7360_2_1_8,11.0,FR15,11,M
425,425,7360,7360_2_1_9,10.0,FR15,11,M
426,426,7360,7360_2_1_10,10.0,FR15,11,M
427,427,7360,7360_2_1_11,11.0,FR15,11,M
428,428,7360,7360_2_1_12,10.0,FR15,11,M
429,429,7360,7360_2_1_13,9.0,FR15,11,M
430,430,7360,7360_2_1_14,11.0,FR15,11,M
431,431,7360,7360_2_1_15,11.0,FR15,11,M
432,432,7360,7360_2_1_16,10.0,FR15,11,M
433,433,7360,7360_2_1_17,10.0,FR15,11,M
434,434,7360,7360_2_1_18,10.0,FR15,11,M
435,435,7360,7360_2_1_19,9.0,FR15,11,M
436,436,7360,7360_2_1_20,10.0,FR15,11,M
437,437,7360,7360_2_1_21,10.0,FR15,11,M
