,part_id,cont_id,cnt_age_exact,hh_id,part_age,part_gender
0,1,101.0,42.0,Mo08HH1,8.0,F
1,1,102.0,9.0,Mo08HH1,8.0,F
2,1,103.0,42.0,Mo08HH1,8.0,F
3,1,104.0,8.0,Mo08HH1,8.0,F
4,1,105.0,29.0,Mo08HH1,8.0,F
5,1,106.0,8.0,Mo08HH1,8.0,F
6,1,107.0,12.0,Mo08HH1,8.0,F
7,1,108.0,8.0,Mo08HH1,8.0,F
8,1,109.0,55.0,Mo08HH1,8.0,F
9,1,110.0,8.0,Mo08HH1,8.0,F
10,1,111.0,12.0,Mo08HH1,8.0,F
11,1,112.0,8.0,Mo08HH1,8.0,F
12,1,113.0,8.0,Mo08HH1,8.0,F
13,1,114.0,42.0,Mo08HH1,8.0,F
14,1,115.0,52.0,Mo08HH1,8.0,F
15,1,116.0,8.0,Mo08HH1,8.0,F
16,1,117.0,8.0,Mo08HH1,8.0,F
17,1,118.0,4.0,Mo08HH1,8.0,F
18,1,119.0,42.0,Mo08HH1,8.0,F
19,1,120.0,8.0,Mo08HH1,8.0,F
20,2,201.0,66.0,Mo08HH2,6.0,M
21,2,202.0,69.0,Mo08HH2,6.0,M
22,2,203.0,41.0,Mo08HH2,6.0,M
23,2,204.0,43.0,Mo08HH2,6.0,M
24,3,301.0,35.0,Mo08HH3,0.0,F
25,3,302.0,53.0,Mo08HH3,0.0,F
26,3,303.0,50.0,Mo08HH3,0.0,F
27,3,304.0,55.0,Mo08HH3,0.0,F
28,3,305.0,35.0,Mo08HH3,0.0,F
29,3,306.0,55.0,Mo08HH3,0.0,F
30,3,307.0,35.0,Mo08HH3,0.0,F
31,3,308.0,45.0,Mo08HH3,0.0,F
32,3,309.0,35.0,Mo08HH3,0.0,F
33,3,310.0,52.0,Mo08HH3,0.0,F
34,3,311.0,28.0,Mo08HH3,0.0,F
35,3,312.0,55.0,Mo08HH3,0.0,F
36,3,313.0,55.0,Mo08HH3,0.0,F
37,3,314.0,45.0,Mo08HH3,0.0,F
38,3,315.0,25.0,Mo08HH3,0.0,F
39,4,401.0,3.0,Mo08HH4,1.0,M
40,4,402.0,40.0,Mo08HH4,1.0,M
41,4,403.0,60.0,Mo08HH4,1.0,M
42,4,404.0,65.0,Mo08HH4,1.0,M
43,4,405.0,35.0,Mo08HH4,1.0,M
44,4,406.0,38.0,Mo08HH4,1.0,M
45,4,407.0,65.0,Mo08HH4,1.0,M
46,5,501.0,62.0,Mo08HH5,2.0,M
47,5,502.0,61.0,Mo08HH5,2.0,M
48,5,503.0,17.0,Mo08HH5,2.0,M
49,5,504.0,78.0,Mo08HH5,2.0,M
50,5,505.0,22.0,Mo08HH5,2.0,M
51,5,506.0,22.0,Mo08HH5,2.0,M
52,5,507.0,19.0,Mo08HH5,2.0,M
53,5,508.0,19.0,Mo08HH5,2.0,M
54,5,509.0,68.0,Mo08HH5,2.0,M
55,5,510.0,50.0,Mo08HH5,2.0,M
56,5,511.0,2.0,Mo08HH5,2.0,M
57,5,512.0,20.0,Mo08HH5,2.0,M
58,5,513.0,49.0,Mo08HH5,2.0,M
59,5,514.0,42.0,Mo08HH5,2.0,M
60,5,515.0,45.0,Mo08HH5,2.0,M
61,5,516.0,36.0,Mo08HH5,2.0,M
62,5,517.0,46.0,Mo08HH5,2.0,M
63,5,518.0,40.0,Mo08HH5,2.0,M
64,5,519.0,72.0,Mo08HH5,2.0,M
65,5,520.0,50.0,Mo08HH5,2.0,M
66,5,521.0,10.0,Mo08HH5,2.0,M
67,5,522.0,57.0,Mo08HH5,2.0,M
68,5,523.0,49.0,Mo08HH5,2.0,M
69,5,524.0,41.0,Mo08HH5,2.0,M
70,5,525.0,39.0,Mo08HH5,2.0,M
71,6,601.0,75.0,Mo08HH6,7.0,M
72,6,602.0,8.0,Mo08HH6,7.0,M
73,6,603.0,8.0,Mo08HH6,7.0,M
74,6,604.0,8.0,Mo08HH6,7.0,M
75,6,605.0,47.0,Mo08HH6,7.0,M
76,6,606.0,7.0,Mo08HH6,7.0,M
77,6,607.0,43.0,Mo08HH6,7.0,M
78,6,608.0,53.0,Mo08HH6,7.0,M
79,6,609.0,48.0,Mo08HH6,7.0,M
80,6,610.0,32.0,Mo08HH6,7.0,M
81,6,611.0,8.0,Mo08HH6,7.0,M
82,6,612.0,7.0,Mo08HH6,7.0,M
83,6,613.0,42.0,Mo08HH6,7.0,M
84,6,614.0,7.0,Mo08HH6,7.0,M
85,6,615.0,7.0,Mo08HH6,7.0,M
86,6,616.0,12.0,Mo08HH6,7.0,M
87,6,617.0,8.0,Mo08HH6,7.0,M
88,6,618.0,21.0,Mo08HH6,7.0,M
89,6,619.0,10.0,Mo08HH6,7.0,M
90,7,701.0,10.0,Mo08HH7,2.0,M
91,7,702.0,34.0,Mo08HH7,2.0,M
92,7,703.0,36.0,Mo08HH7,2.0,M
93,7,704.0,38.0,Mo08HH7,2.0,M
94,7,705.0,4.0,Mo08HH7,2.0,M
95,7,706.0,78.0,Mo08HH7,2.0,M
96,7,707.0,65.0,Mo08HH7,2.0,M
97,8,801.0,47.0,Mo08HH8,5.0,M
98,8,802.0,79.0,Mo08HH8,5.0,M
99,8,803.0,56.0,Mo08HH8,5.0,M
100,8,804.0,48.0,Mo08HH8,5.0,M
101,8,805.0,9.0,Mo08HH8,5.0,M
102,8,806.0,21.0,Mo08HH8,5.0,M
103,8,807.0,51.0,Mo08HH8,5.0,M
104,8,808.0,5.0,Mo08HH8,5.0,M
105,8,809.0,16.0,Mo08HH8,5.0,M
106,9,901.0,2.0,Mo08HH9,3.0,M
107,9,902.0,1.0,Mo08HH9,3.0,M
108,9,903.0,2.0,Mo08HH9,3.0,M
109,9,904.0,2.0,Mo08HH9,3.0,M
110,9,905.0,2.0,Mo08HH9,3.0,M
111,9,906.0,3.0,Mo08HH9,3.0,M
112,9,907.0,47.0,Mo08HH9,3.0,M
113,9,908.0,1.0,Mo08HH9,3.0,M
114,9,909.0,3.0,Mo08HH9,3.0,M
115,9,910.0,1.0,Mo08HH9,3.0,M
116,9,911.0,1.0,Mo08HH9,3.0,M
117,9,912.0,2.0,Mo08HH9,3.0,M
118,9,913.0,1.0,Mo08HH9,3.0,M
119,9,914.0,2.0,Mo08HH9,3.0,M
120,9,915.0,2.0,Mo08HH9,3.0,M
121,9,916.0,1.0,Mo08HH9,3.0,M
122,9,917.0,80.0,Mo08HH9,3.0,M
123,9,918.0,2.0,Mo08HH9,3.0,M
124,9,919.0,2.0,Mo08HH9,3.0,M
125,9,920.0,1.0,Mo08HH9,3.0,M
126,9,921.0,41.0,Mo08HH9,3.0,M
